"","country","food_category","consumption","co2_emmission"
"597","Czech Republic","Beef",8.15,251.49
"598","Czech Republic","Lamb & Goat",0.34,11.91
"599","Czech Republic","Fish",8.25,13.17
"600","Czech Republic","Eggs",11.66,10.71
"601","Czech Republic","Milk - inc. cheese",195.2,278.04
"602","Czech Republic","Wheat and Wheat Products",92.67,17.67
"603","Czech Republic","Rice",4.79,6.13
"604","Czech Republic","Soybeans",0.82,0.37
"605","Czech Republic","Nuts inc. Peanut Butter",2.47,4.37
"606","Romania","Pork",25.31,89.58
"607","Romania","Poultry",15.38,16.52
"608","Romania","Beef",4.78,147.5
"609","Romania","Lamb & Goat",3.41,119.42
"610","Romania","Fish",6.07,9.69
"611","Romania","Eggs",12.94,11.89
"612","Romania","Milk - inc. cheese",238.33,339.48
"613","Romania","Wheat and Wheat Products",134.87,25.72
"614","Romania","Rice",2.59,3.31
"615","Romania","Soybeans",0.01,0
"616","Romania","Nuts inc. Peanut Butter",1.8,3.19
"617","Colombia","Pork",6.51,23.04
"618","Colombia","Poultry",27.57,29.62
"619","Colombia","Beef",16.36,504.84
"620","Colombia","Lamb & Goat",0.21,7.35
"621","Colombia","Fish",6.01,9.6
"622","Colombia","Eggs",10.78,9.9
"623","Colombia","Milk - inc. cheese",108.47,154.5
"624","Colombia","Wheat and Wheat Products",29.79,5.68
"625","Colombia","Rice",28.02,35.86
"626","Colombia","Soybeans",0.89,0.4
"627","Colombia","Nuts inc. Peanut Butter",0.42,0.74
"628","Maldives","Pork",1.22,4.32
"629","Maldives","Poultry",18.47,19.84
"630","Maldives","Beef",9.44,291.3
"631","Maldives","Lamb & Goat",0.7,24.51
"632","Maldives","Fish",179.71,286.94
"633","Maldives","Eggs",10.79,9.91
"634","Maldives","Milk - inc. cheese",111.47,158.78
"635","Maldives","Wheat and Wheat Products",77.77,14.83
"636","Maldives","Rice",50.73,64.92
"637","Maldives","Soybeans",0.2,0.09
"638","Maldives","Nuts inc. Peanut Butter",15.83,28.02
"639","Cyprus","Pork",38.38,135.85
"640","Cyprus","Poultry",24.45,26.26
"641","Cyprus","Beef",5.79,178.67
"642","Cyprus","Lamb & Goat",5.05,176.85
"643","Cyprus","Fish",14.86,23.73
"644","Cyprus","Eggs",8.98,8.25
"645","Cyprus","Milk - inc. cheese",113.31,161.4
"646","Cyprus","Wheat and Wheat Products",83.25,15.88
"647","Cyprus","Rice",4.94,6.32
"648","Cyprus","Soybeans",0.04,0.02
"649","Cyprus","Nuts inc. Peanut Butter",4.6,8.14
"650","Serbia","Pork",32.04,113.41
"651","Serbia","Poultry",10.64,11.43
"652","Serbia","Beef",7.05,217.55
"653","Serbia","Lamb & Goat",3.56,124.67
"654","Serbia","Fish",5.59,8.93
"655","Serbia","Eggs",8.89,8.17
"656","Serbia","Milk - inc. cheese",148.53,211.57
"657","Serbia","Wheat and Wheat Products",105.88,20.19
"658","Serbia","Rice",1.22,1.56
"659","Serbia","Soybeans",0,0
"660","Serbia","Nuts inc. Peanut Butter",3.31,5.86
"661","United Arab Emirates","Pork",0,0
"662","United Arab Emirates","Poultry",41.04,44.09
"663","United Arab Emirates","Beef",5.64,174.04
"664","United Arab Emirates","Lamb & Goat",9.08,317.98
"665","United Arab Emirates","Fish",20.41,32.59
"666","United Arab Emirates","Eggs",8.23,7.56
"667","United Arab Emirates","Milk - inc. cheese",132.66,188.96
"668","United Arab Emirates","Wheat and Wheat Products",101.29,19.32
"669","United Arab Emirates","Rice",56.25,71.98
"670","United Arab Emirates","Soybeans",0.08,0.04
"671","United Arab Emirates","Nuts inc. Peanut Butter",23.03,40.76
"672","Algeria","Pork",0,0
"673","Algeria","Poultry",7.42,7.97
"674","Algeria","Beef",5.6,172.8
"675","Algeria","Lamb & Goat",7.69,269.3
"676","Algeria","Fish",3.74,5.97
"677","Algeria","Eggs",8.06,7.4
"678","Algeria","Milk - inc. cheese",141.53,201.6
"679","Algeria","Wheat and Wheat Products",185.42,35.36
"680","Algeria","Rice",2.97,3.8
"681","Algeria","Soybeans",0,0
"682","Algeria","Nuts inc. Peanut Butter",2.08,3.68
"683","Ukraine","Pork",20.56,72.77
"684","Ukraine","Poultry",24.23,26.03
"685","Ukraine","Beef",8.96,276.49
"686","Ukraine","Lamb & Goat",0.41,14.36
"687","Ukraine","Fish",15.23,24.32
"688","Ukraine","Eggs",18.01,16.54
"689","Ukraine","Milk - inc. cheese",145.03,206.58
"690","Ukraine","Wheat and Wheat Products",105.15,20.05
"691","Ukraine","Rice",3,3.84
"692","Ukraine","Soybeans",0.02,0.01
"693","Ukraine","Nuts inc. Peanut Butter",2.68,4.74
"694","Pakistan","Pork",0,0
"695","Pakistan","Poultry",5.01,5.38
"696","Pakistan","Beef",8.82,272.17
"697","Pakistan","Lamb & Goat",2.46,86.15
"698","Pakistan","Fish",1.87,2.99
"699","Pakistan","Eggs",2.95,2.71
"700","Pakistan","Milk - inc. cheese",183.13,260.85
"701","Pakistan","Wheat and Wheat Products",113.63,21.67
"702","Pakistan","Rice",12.25,15.68
"703","Pakistan","Soybeans",0,0
"704","Pakistan","Nuts inc. Peanut Butter",0.83,1.47
"705","Swaziland","Pork",2.43,8.6
"706","Swaziland","Poultry",6.18,6.64
"707","Swaziland","Beef",15.1,465.95
"708","Swaziland","Lamb & Goat",1.94,67.94
"709","Swaziland","Fish",1.26,2.01
"710","Swaziland","Eggs",1.5,1.38
"711","Swaziland","Milk - inc. cheese",56.6,80.62
"712","Swaziland","Wheat and Wheat Products",37.15,7.08
"713","Swaziland","Rice",21.15,27.07
"714","Swaziland","Soybeans",0.55,0.25
"715","Swaziland","Nuts inc. Peanut Butter",6.44,11.4
"716","Latvia","Pork",34.96,123.74
"717","Latvia","Poultry",20.53,22.05
"718","Latvia","Beef",5.11,157.68
"719","Latvia","Lamb & Goat",0.34,11.91
"720","Latvia","Fish",21.3,34.01
"721","Latvia","Eggs",14.03,12.89
"722","Latvia","Milk - inc. cheese",174.11,248
"723","Latvia","Wheat and Wheat Products",72.13,13.76
"724","Latvia","Rice",2.21,2.83
"725","Latvia","Soybeans",0.04,0.02
"726","Latvia","Nuts inc. Peanut Butter",3.78,6.69
"727","Bosnia and Herzegovina","Pork",9.38,33.2
"728","Bosnia and Herzegovina","Poultry",13.17,14.15
"729","Bosnia and Herzegovina","Beef",9.12,281.42
"730","Bosnia and Herzegovina","Lamb & Goat",0.47,16.46
"731","Bosnia and Herzegovina","Fish",4.06,6.48
"732","Bosnia and Herzegovina","Eggs",4.49,4.12
"733","Bosnia and Herzegovina","Milk - inc. cheese",174.03,247.89
"734","Bosnia and Herzegovina","Wheat and Wheat Products",93.56,17.84
"735","Bosnia and Herzegovina","Rice",1.88,2.41
"736","Bosnia and Herzegovina","Soybeans",1.48,0.67
"737","Bosnia and Herzegovina","Nuts inc. Peanut Butter",2,3.54
"738","Fiji","Pork",4.31,15.26
"739","Fiji","Poultry",20.26,21.76
"740","Fiji","Beef",8.96,276.49
"741","Fiji","Lamb & Goat",5.9,206.62
"742","Fiji","Fish",35.01,55.9
"743","Fiji","Eggs",6.44,5.92
"744","Fiji","Milk - inc. cheese",40.2,57.26
"745","Fiji","Wheat and Wheat Products",84.22,16.06
"746","Fiji","Rice",45.62,58.38
"747","Fiji","Soybeans",0.3,0.14
"748","Fiji","Nuts inc. Peanut Butter",1.3,2.3
"749","South Korea","Pork",32.76,115.95
"750","South Korea","Poultry",16,17.19
"751","South Korea","Beef",14.53,448.37
"752","South Korea","Lamb & Goat",0.14,4.9
"753","South Korea","Fish",33.09,52.83
"754","South Korea","Eggs",11.24,10.33
"755","South Korea","Milk - inc. cheese",29.05,41.38
"756","South Korea","Wheat and Wheat Products",50.84,9.7
"757","South Korea","Rice",85.18,109
"758","South Korea","Soybeans",8.35,3.76
"759","South Korea","Nuts inc. Peanut Butter",4.88,8.64
"760","Poland","Pork",46.19,163.49
"761","Poland","Poultry",27.41,29.44
"762","Poland","Beef",2.32,71.59
"763","Poland","Lamb & Goat",0.02,0.7
"764","Poland","Fish",10.49,16.75
"765","Poland","Eggs",7.53,6.92
"766","Poland","Milk - inc. cheese",205.39,292.56
"767","Poland","Wheat and Wheat Products",108.83,20.75
"768","Poland","Rice",0.95,1.22
"769","Poland","Soybeans",0.06,0.03
"770","Poland","Nuts inc. Peanut Butter",2.23,3.95
"771","Saudi Arabia","Pork",0,0
"772","Saudi Arabia","Poultry",49.05,52.69
"773","Saudi Arabia","Beef",6.45,199.03
"774","Saudi Arabia","Lamb & Goat",6.54,229.03
"775","Saudi Arabia","Fish",11.99,19.14
"776","Saudi Arabia","Eggs",5.37,4.93
"777","Saudi Arabia","Milk - inc. cheese",83.65,119.15
"778","Saudi Arabia","Wheat and Wheat Products",89.47,17.06
"779","Saudi Arabia","Rice",36.02,46.09
"780","Saudi Arabia","Soybeans",0.05,0.02
"781","Saudi Arabia","Nuts inc. Peanut Butter",3.23,5.72
"782","Botswana","Pork",0.74,2.62
"783","Botswana","Poultry",5.33,5.73
"784","Botswana","Beef",7.85,242.23
"785","Botswana","Lamb & Goat",3.76,131.67
"786","Botswana","Fish",3.98,6.35
"787","Botswana","Eggs",1.95,1.79
"788","Botswana","Milk - inc. cheese",117.74,167.71
"789","Botswana","Wheat and Wheat Products",38.2,7.28
"790","Botswana","Rice",7.06,9.03
"791","Botswana","Soybeans",1.16,0.52
"792","Botswana","Nuts inc. Peanut Butter",1.08,1.91
"793","Macedonia","Pork",10.35,36.63
"794","Macedonia","Poultry",18.77,20.16
"795","Macedonia","Beef",7.69,237.3
"796","Macedonia","Lamb & Goat",0.94,32.92
"797","Macedonia","Fish",5.47,8.73
"798","Macedonia","Eggs",6.38,5.86
"799","Macedonia","Milk - inc. cheese",157.93,224.96
"800","Macedonia","Wheat and Wheat Products",104.8,19.99
"801","Macedonia","Rice",2.81,3.6
"802","Macedonia","Soybeans",0.46,0.21
"803","Macedonia","Nuts inc. Peanut Butter",5.87,10.39
"804","Hungary","Pork",34.93,123.63
"805","Hungary","Poultry",23.78,25.54
"806","Hungary","Beef",4.96,153.06
"807","Hungary","Lamb & Goat",0.11,3.85
"808","Hungary","Fish",4.93,7.87
"809","Hungary","Eggs",12.45,11.44
"810","Hungary","Milk - inc. cheese",159.05,226.55
"811","Hungary","Wheat and Wheat Products",109.98,20.97
"812","Hungary","Rice",2.15,2.75
"813","Hungary","Soybeans",0.01,0
"814","Hungary","Nuts inc. Peanut Butter",0.64,1.13
"815","Trinidad and Tobago","Pork",8.92,31.57
"816","Trinidad and Tobago","Poultry",58.27,62.59
"817","Trinidad and Tobago","Beef",6.13,189.16
"818","Trinidad and Tobago","Lamb & Goat",2.79,97.71
"819","Trinidad and Tobago","Fish",20.54,32.8
"820","Trinidad and Tobago","Eggs",4.2,3.86
"821","Trinidad and Tobago","Milk - inc. cheese",103.8,147.85
"822","Trinidad and Tobago","Wheat and Wheat Products",90.17,17.2
"823","Trinidad and Tobago","Rice",16.38,20.96
"824","Trinidad and Tobago","Soybeans",0.04,0.02
"825","Trinidad and Tobago","Nuts inc. Peanut Butter",3.78,6.69
"826","Tunisia","Pork",0,0
"827","Tunisia","Poultry",18.5,19.87
"828","Tunisia","Beef",5.53,170.64
"829","Tunisia","Lamb & Goat",5.34,187.01
"830","Tunisia","Fish",12.63,20.17
"831","Tunisia","Eggs",7.67,7.05
"832","Tunisia","Milk - inc. cheese",114.47,163.05
"833","Tunisia","Wheat and Wheat Products",197.5,37.66
"834","Tunisia","Rice",1.07,1.37
"835","Tunisia","Soybeans",1.88,0.85
"836","Tunisia","Nuts inc. Peanut Butter",6.34,11.22
"837","Egypt","Pork",0.02,0.07
"838","Egypt","Poultry",14.43,15.5
"839","Egypt","Beef",12.88,397.45
"840","Egypt","Lamb & Goat",1.58,55.33
"841","Egypt","Fish",21.46,34.26
"842","Egypt","Eggs",4.59,4.22
"843","Egypt","Milk - inc. cheese",59.46,84.69
"844","Egypt","Wheat and Wheat Products",146.83,28
"845","Egypt","Rice",39.77,50.89
"846","Egypt","Soybeans",0.64,0.29
"847","Egypt","Nuts inc. Peanut Butter",1.82,3.22
"848","Mauritius","Pork",4.08,14.44
"849","Mauritius","Poultry",38.51,41.37
"850","Mauritius","Beef",5.99,184.84
"851","Mauritius","Lamb & Goat",4.08,142.88
"852","Mauritius","Fish",19.66,31.39
"853","Mauritius","Eggs",6.32,5.81
"854","Mauritius","Milk - inc. cheese",117.27,167.04
"855","Mauritius","Wheat and Wheat Products",114.02,21.74
"856","Mauritius","Rice",45.56,58.3
"857","Mauritius","Soybeans",0.3,0.14
"858","Mauritius","Nuts inc. Peanut Butter",2.33,4.12
"859","Bulgaria","Pork",26.26,92.95
"860","Bulgaria","Poultry",20.68,22.21
"861","Bulgaria","Beef",3.84,118.49
"862","Bulgaria","Lamb & Goat",1.63,57.08
"863","Bulgaria","Fish",6.24,9.96
"864","Bulgaria","Eggs",8.36,7.68
"865","Bulgaria","Milk - inc. cheese",155.71,221.79
"866","Bulgaria","Wheat and Wheat Products",121.17,23.11
"867","Bulgaria","Rice",2.24,2.87
"868","Bulgaria","Soybeans",0.04,0.02
"869","Bulgaria","Nuts inc. Peanut Butter",2.26,4
"870","Morocco","Pork",0.01,0.04
"871","Morocco","Poultry",20.77,22.31
"872","Morocco","Beef",8.04,248.1
"873","Morocco","Lamb & Goat",4.36,152.69
"874","Morocco","Fish",17.44,27.85
"875","Morocco","Eggs",6.68,6.14
"876","Morocco","Milk - inc. cheese",54.68,77.89
"877","Morocco","Wheat and Wheat Products",179.7,34.27
"878","Morocco","Rice",1.1,1.41
"879","Morocco","Soybeans",0,0
"880","Morocco","Nuts inc. Peanut Butter",3.23,5.72
"881","Slovakia","Pork",31.78,112.49
"882","Slovakia","Poultry",15.13,16.25
"883","Slovakia","Beef",5.19,160.15
"884","Slovakia","Lamb & Goat",0.16,5.6
"885","Slovakia","Fish",8.39,13.4
"886","Slovakia","Eggs",16.05,14.74
"887","Slovakia","Milk - inc. cheese",143.14,203.89
"888","Slovakia","Wheat and Wheat Products",123.62,23.57
"889","Slovakia","Rice",2.88,3.69
"890","Slovakia","Soybeans",0.02,0.01
"891","Slovakia","Nuts inc. Peanut Butter",3.7,6.55
"892","Niger","Pork",0.09,0.32
"893","Niger","Poultry",1.08,1.16
"894","Niger","Beef",8.97,276.8
"895","Niger","Lamb & Goat",4.17,146.03
"896","Niger","Fish",2.7,4.31
"897","Niger","Eggs",0.3,0.28
"898","Niger","Milk - inc. cheese",58.92,83.93
"899","Niger","Wheat and Wheat Products",4.79,0.91
"900","Niger","Rice",13.17,16.85
"901","Niger","Soybeans",0,0
"902","Niger","Nuts inc. Peanut Butter",6.95,12.3
"903","Kenya","Pork",0.29,1.03
"904","Kenya","Poultry",0.47,0.5
"905","Kenya","Beef",9.54,294.38
"906","Kenya","Lamb & Goat",1.86,65.14
"907","Kenya","Fish",4.27,6.82
"908","Kenya","Eggs",1.84,1.69
"909","Kenya","Milk - inc. cheese",94.86,135.12
"910","Kenya","Wheat and Wheat Products",34.65,6.61
"911","Kenya","Rice",12.94,16.56
"912","Kenya","Soybeans",0.2,0.09
"913","Kenya","Nuts inc. Peanut Butter",1.64,2.9
"914","Jordan","Pork",0.02,0.07
"915","Jordan","Poultry",33.39,35.87
"916","Jordan","Beef",5.61,173.11
"917","Jordan","Lamb & Goat",5.68,198.91
"918","Jordan","Fish",5.13,8.19
"919","Jordan","Eggs",3.92,3.6
"920","Jordan","Milk - inc. cheese",77.68,110.65
"921","Jordan","Wheat and Wheat Products",136.74,26.08
"922","Jordan","Rice",19.67,25.17
"923","Jordan","Soybeans",0.02,0.01
"924","Jordan","Nuts inc. Peanut Butter",3.56,6.3
"925","Japan","Pork",20.62,72.98
"926","Japan","Poultry",19.42,20.86
"927","Japan","Beef",9.15,282.35
"928","Japan","Lamb & Goat",0.14,4.9
"929","Japan","Fish",31.1,49.66
"930","Japan","Eggs",19.15,17.59
"931","Japan","Milk - inc. cheese",72.06,102.64
"932","Japan","Wheat and Wheat Products",45.04,8.59
"933","Japan","Rice",59.85,76.59
"934","Japan","Soybeans",7.34,3.3
"935","Japan","Nuts inc. Peanut Butter",2.59,4.58
"936","Georgia","Pork",8.93,31.61
"937","Georgia","Poultry",12.28,13.19
"938","Georgia","Beef",6.04,186.38
"939","Georgia","Lamb & Goat",0.63,22.06
"940","Georgia","Fish",10.42,16.64
"941","Georgia","Eggs",6.12,5.62
"942","Georgia","Milk - inc. cheese",149.26,212.61
"943","Georgia","Wheat and Wheat Products",163.43,31.17
"944","Georgia","Rice",2.64,3.38
"945","Georgia","Soybeans",0,0
"946","Georgia","Nuts inc. Peanut Butter",2.47,4.37
"947","Grenada","Pork",11.52,40.78
"948","Grenada","Poultry",43.51,46.74
"949","Grenada","Beef",3.46,106.77
"950","Grenada","Lamb & Goat",1.25,43.77
"951","Grenada","Fish",27.95,44.63
"952","Grenada","Eggs",10.34,9.5
"953","Grenada","Milk - inc. cheese",86.88,123.75
"954","Grenada","Wheat and Wheat Products",59.59,11.36
"955","Grenada","Rice",9.56,12.23
"956","Grenada","Soybeans",0.01,0
"957","Grenada","Nuts inc. Peanut Butter",0.18,0.32
"958","El Salvador","Pork",3.23,11.43
"959","El Salvador","Poultry",19.84,21.31
"960","El Salvador","Beef",5.95,183.6
"961","El Salvador","Lamb & Goat",0.02,0.7
"962","El Salvador","Fish",6.25,9.98
"963","El Salvador","Eggs",9.51,8.74
"964","El Salvador","Milk - inc. cheese",124.34,177.11
"965","El Salvador","Wheat and Wheat Products",28.19,5.38
"966","El Salvador","Rice",10.53,13.48
"967","El Salvador","Soybeans",0.8,0.36
"968","El Salvador","Nuts inc. Peanut Butter",1.1,1.95
"969","Cuba","Pork",19.82,70.15
"970","Cuba","Poultry",20.15,21.65
"971","Cuba","Beef",6.39,197.18
"972","Cuba","Lamb & Goat",1.24,43.42
"973","Cuba","Fish",4.76,7.6
"974","Cuba","Eggs",9.82,9.02
"975","Cuba","Milk - inc. cheese",99.94,142.35
"976","Cuba","Wheat and Wheat Products",54.62,10.42
"977","Cuba","Rice",67.7,86.64
"978","Cuba","Soybeans",6.34,2.85
"979","Cuba","Nuts inc. Peanut Butter",0.23,0.41
"980","China","Pork",38.43,136.02
"981","China","Poultry",13.2,14.18
"982","China","Beef",5.12,157.99
"983","China","Lamb & Goat",3.13,109.61
"984","China","Fish",21.01,33.55
"985","China","Eggs",18.76,17.23
"986","China","Milk - inc. cheese",32.66,46.52
"987","China","Wheat and Wheat Products",63.36,12.08
"988","China","Rice",78.18,100.05
"989","China","Soybeans",3.66,1.65
"990","China","Nuts inc. Peanut Butter",6.39,11.31
"991","Honduras","Pork",6.48,22.94
"992","Honduras","Poultry",20.29,21.8
"993","Honduras","Beef",7.19,221.87
"994","Honduras","Lamb & Goat",0.04,1.4
"995","Honduras","Fish",2.7,4.31
"996","Honduras","Eggs",5.19,4.77
"997","Honduras","Milk - inc. cheese",91.33,130.09
"998","Honduras","Wheat and Wheat Products",37.36,7.12
"999","Honduras","Rice",14.42,18.45
"1000","Honduras","Soybeans",0.01,0
"1001","Honduras","Nuts inc. Peanut Butter",0.75,1.33
"1002","Taiwan. ROC","Pork",39.37,139.35
"1003","Taiwan. ROC","Poultry",32.13,34.51
"1004","Taiwan. ROC","Beef",5.21,160.77
"1005","Taiwan. ROC","Lamb & Goat",0.92,32.22
"1006","Taiwan. ROC","Fish",18.29,29.2
"1007","Taiwan. ROC","Eggs",13.08,12.02
"1008","Taiwan. ROC","Milk - inc. cheese",41.72,59.43
"1009","Taiwan. ROC","Wheat and Wheat Products",50.92,9.71
"1010","Taiwan. ROC","Rice",45.85,58.67
"1011","Taiwan. ROC","Soybeans",16.95,7.63
"1012","Taiwan. ROC","Nuts inc. Peanut Butter",9.06,16.04
"1013","Angola","Pork",8.89,31.47
"1014","Angola","Poultry",17.33,18.62
"1015","Angola","Beef",8.42,259.82
"1016","Angola","Lamb & Goat",1.08,37.82
"1017","Angola","Fish",15.24,24.33
"1018","Angola","Eggs",1.11,1.02
"1019","Angola","Milk - inc. cheese",12.3,17.52
"1020","Angola","Wheat and Wheat Products",40.72,7.77
"1021","Angola","Rice",8.12,10.39
"1022","Angola","Soybeans",0.52,0.23
"1023","Angola","Nuts inc. Peanut Butter",2.26,4
"1024","Jamaica","Pork",3.99,14.12
"1025","Jamaica","Poultry",52.51,56.41
"1026","Jamaica","Beef",3.97,122.51
"1027","Jamaica","Lamb & Goat",1.26,44.13
"1028","Jamaica","Fish",21.95,35.05
"1029","Jamaica","Eggs",2.27,2.09
"1030","Jamaica","Milk - inc. cheese",91.13,129.81
"1031","Jamaica","Wheat and Wheat Products",70.67,13.48
"1032","Jamaica","Rice",23.45,30.01
"1033","Jamaica","Soybeans",0,0
"1034","Jamaica","Nuts inc. Peanut Butter",1.82,3.22
"1035","Namibia","Pork",4.21,14.9
"1036","Namibia","Poultry",12.19,13.09
"1037","Namibia","Beef",3.75,115.72
"1038","Namibia","Lamb & Goat",2.27,79.5
"1039","Namibia","Fish",10.7,17.08
"1040","Namibia","Eggs",1.63,1.5
"1041","Namibia","Milk - inc. cheese",73.05,104.05
"1042","Namibia","Wheat and Wheat Products",36.26,6.91
"1043","Namibia","Rice",6.31,8.07
"1044","Namibia","Soybeans",0.07,0.03
"1045","Namibia","Nuts inc. Peanut Butter",0.71,1.26
"1046","Belize","Pork",16.8,59.46
"1047","Belize","Poultry",28.31,30.41
"1048","Belize","Beef",4.86,149.97
"1049","Belize","Lamb & Goat",0.14,4.9
"1050","Belize","Fish",7.57,12.09
"1051","Belize","Eggs",4.85,4.46
"1052","Belize","Milk - inc. cheese",80.3,114.38
"1053","Belize","Wheat and Wheat Products",54.06,10.31
"1054","Belize","Rice",28.42,36.37
"1055","Belize","Soybeans",1.88,0.85
"1056","Belize","Nuts inc. Peanut Butter",5.58,9.88
"1057","Malaysia","Pork",7.76,27.47
"1058","Malaysia","Poultry",41.01,44.05
"1059","Malaysia","Beef",6.52,201.19
"1060","Malaysia","Lamb & Goat",0.94,32.92
"1061","Malaysia","Fish",49.43,78.92
"1062","Malaysia","Eggs",16.57,15.22
"1063","Malaysia","Milk - inc. cheese",25.28,36.01
"1064","Malaysia","Wheat and Wheat Products",51.04,9.73
"1065","Malaysia","Rice",81.25,103.98
"1066","Malaysia","Soybeans",0.04,0.02
"1067","Malaysia","Nuts inc. Peanut Butter",2.9,5.13
"1068","Zimbabwe","Pork",2.65,9.38
"1069","Zimbabwe","Poultry",4.97,5.34
"1070","Zimbabwe","Beef",7.37,227.42
"1071","Zimbabwe","Lamb & Goat",0.96,33.62
"1072","Zimbabwe","Fish",2.8,4.47
"1073","Zimbabwe","Eggs",1.75,1.61
"1074","Zimbabwe","Milk - inc. cheese",31.9,45.44
"1075","Zimbabwe","Wheat and Wheat Products",31.31,5.97
"1076","Zimbabwe","Rice",10.09,12.91
"1077","Zimbabwe","Soybeans",0.54,0.24
"1078","Zimbabwe","Nuts inc. Peanut Butter",2.22,3.93
"1079","Guatemala","Pork",4.85,17.17
"1080","Guatemala","Poultry",16.45,17.67
"1081","Guatemala","Beef",5.6,172.8
"1082","Guatemala","Lamb & Goat",0.23,8.05
"1083","Guatemala","Fish",1.08,1.72
"1084","Guatemala","Eggs",14.61,13.42
"1085","Guatemala","Milk - inc. cheese",46.6,66.38
"1086","Guatemala","Wheat and Wheat Products",35.9,6.85
"1087","Guatemala","Rice",5.66,7.24
"1088","Guatemala","Soybeans",0.32,0.14
"1089","Guatemala","Nuts inc. Peanut Butter",2,3.54
"1090","Uganda","Pork",3.37,11.93
"1091","Uganda","Poultry",1.51,1.62
"1092","Uganda","Beef",5.15,158.92
"1093","Uganda","Lamb & Goat",1.25,43.77
"1094","Uganda","Fish",12.5,19.96
"1095","Uganda","Eggs",0.97,0.89
"1096","Uganda","Milk - inc. cheese",37.27,53.09
"1097","Uganda","Wheat and Wheat Products",10.14,1.93
"1098","Uganda","Rice",4.64,5.94
"1099","Uganda","Soybeans",0.01,0
"1100","Uganda","Nuts inc. Peanut Butter",3.77,6.67
"1101","Nepal","Pork",0.67,2.37
"1102","Nepal","Poultry",1.56,1.68
"1103","Nepal","Beef",7.89,243.47
"1104","Nepal","Lamb & Goat",2.1,73.54
"1105","Nepal","Fish",2.17,3.46
"1106","Nepal","Eggs",1.42,1.3
"1107","Nepal","Milk - inc. cheese",52.1,74.21
"1108","Nepal","Wheat and Wheat Products",50.46,9.62
"1109","Nepal","Rice",87.75,112.29
"1110","Nepal","Soybeans",0.01,0
"1111","Nepal","Nuts inc. Peanut Butter",2.42,4.28
"1112","Iran","Pork",0,0
"1113","Iran","Poultry",25.38,27.26
"1114","Iran","Beef",3.58,110.47
"1115","Iran","Lamb & Goat",3.69,129.22
"1116","Iran","Fish",9.8,15.65
"1117","Iran","Eggs",7.7,7.07
"1118","Iran","Milk - inc. cheese",46.69,66.51
"1119","Iran","Wheat and Wheat Products",153.31,29.24
"1120","Iran","Rice",29.95,38.33
"1121","Iran","Soybeans",0,0
"1122","Iran","Nuts inc. Peanut Butter",12.16,21.52
"1123","Tanzania","Pork",0.32,1.13
"1124","Tanzania","Poultry",1.84,1.98
"1125","Tanzania","Beef",6.09,187.92
"1126","Tanzania","Lamb & Goat",1.28,44.83
"1127","Tanzania","Fish",5.5,8.78
"1128","Tanzania","Eggs",0.58,0.53
"1129","Tanzania","Milk - inc. cheese",40.29,57.39
"1130","Tanzania","Wheat and Wheat Products",15.94,3.04
"1131","Tanzania","Rice",21.01,26.89
"1132","Tanzania","Soybeans",0.04,0.02
"1133","Tanzania","Nuts inc. Peanut Butter",5.94,10.51
"1134","Senegal","Pork",0.94,3.33
"1135","Senegal","Poultry",4.62,4.96
"1136","Senegal","Beef",5.85,180.52
"1137","Senegal","Lamb & Goat",3.19,111.71
"1138","Senegal","Fish",22.94,36.63
"1139","Senegal","Eggs",1.63,1.5
"1140","Senegal","Milk - inc. cheese",16.86,24.02
"1141","Senegal","Wheat and Wheat Products",37.32,7.12
"1142","Senegal","Rice",72.29,92.51
"1143","Senegal","Soybeans",0,0
"1144","Senegal","Nuts inc. Peanut Butter",4.03,7.13
"1145","Peru","Pork",3.85,13.63
"1146","Peru","Poultry",11.72,12.59
"1147","Peru","Beef",4.69,144.72
"1148","Peru","Lamb & Goat",1,35.02
"1149","Peru","Fish",15.74,25.13
"1150","Peru","Eggs",8.76,8.05
"1151","Peru","Milk - inc. cheese",62.15,88.53
"1152","Peru","Wheat and Wheat Products",56.12,10.7
"1153","Peru","Rice",48.92,62.6
"1154","Peru","Soybeans",1.59,0.72
"1155","Peru","Nuts inc. Peanut Butter",0.65,1.15
"1156","Nicaragua","Pork",3.38,11.96
"1157","Nicaragua","Poultry",21.31,22.89
"1158","Nicaragua","Beef",4.73,145.96
"1159","Nicaragua","Lamb & Goat",0.01,0.35
"1160","Nicaragua","Fish",3.59,5.73
"1161","Nicaragua","Eggs",4.9,4.5
"1162","Nicaragua","Milk - inc. cheese",85.16,121.3
"1163","Nicaragua","Wheat and Wheat Products",28.17,5.37
"1164","Nicaragua","Rice",43.33,55.45
"1165","Nicaragua","Soybeans",0.01,0
"1166","Nicaragua","Nuts inc. Peanut Butter",2.36,4.18
"1167","Vietnam","Pork",35,123.88
"1168","Vietnam","Poultry",12.36,13.28
"1169","Vietnam","Beef",7.44,229.58
"1170","Vietnam","Lamb & Goat",0.14,4.9
"1171","Vietnam","Fish",26.52,42.34
"1172","Vietnam","Eggs",3.84,3.53
"1173","Vietnam","Milk - inc. cheese",16.36,23.3
"1174","Vietnam","Wheat and Wheat Products",10.49,2
"1175","Vietnam","Rice",144.56,184.99
"1176","Vietnam","Soybeans",5.75,2.59
"1177","Vietnam","Nuts inc. Peanut Butter",6.28,11.12
